index,小鬼
2023-01-24,181260
2023-01-25,70111
2023-01-26,369828
2023-01-27,218736
2023-01-28,109679
2023-01-29,130482
2023-01-30,725099
2023-01-31,187211
2023-02-01,147628
2023-02-02,2368077
2023-02-03,346709
2023-02-04,726241
2023-02-05,155221
2023-02-06,148114
2023-02-07,123565
2023-02-08,259172
2023-02-09,285290
2023-02-10,536119
2023-02-11,273231
2023-02-12,108185
2023-02-13,86706
2023-02-14,323251
2023-02-15,139623
2023-02-16,122549
2023-02-17,217908
2023-02-18,141157
2023-02-19,351359
2023-02-20,92687
2023-02-21,76707
2023-02-22,234754
2023-02-23,127822
2023-02-24,79115
2023-02-25,98325
2023-02-26,105185
2023-02-27,303022
2023-02-28,130465
2023-03-01,84915
2023-03-02,144719
2023-03-03,168615
2023-03-04,469718
2023-03-05,205591
2023-03-06,78594
2023-03-07,81838
2023-03-08,52812
2023-03-09,81360
2023-03-10,119361
2023-03-11,156175
2023-03-12,441386
2023-03-13,142114
2023-03-14,80352
2023-03-15,95775
2023-03-16,212404
2023-03-17,76549
2023-03-18,102035
2023-03-19,147044
2023-03-20,237225
2023-03-21,96322
2023-03-22,431188
2023-03-23,306091
2023-03-24,107859
2023-03-25,74606
2023-03-26,80389
2023-03-27,111123
2023-03-28,176429
2023-03-29,97182
2023-03-30,257186
2023-03-31,133458
2023-04-01,184223
2023-04-02,184807
2023-04-03,142426
2023-04-04,396059
2023-04-05,893936
2023-04-06,805148
2023-04-07,332319
2023-04-08,251943
2023-04-09,439941
2023-04-10,386075
2023-04-11,89761
2023-04-12,114962
2023-04-13,302389
2023-04-14,203340
2023-04-15,213252
2023-04-16,89403
2023-04-17,183818
2023-04-18,194516
2023-04-19,100199
2023-04-20,219308
2023-04-21,90885
2023-04-22,247776
2023-04-23,389533
2023-04-24,232503
