index,李健
2023-01-24,11559
2023-01-25,16676
2023-01-26,90807
2023-01-27,69302
2023-01-28,45895
2023-01-29,199169
2023-01-30,109197
2023-01-31,98076
2023-02-01,189967
2023-02-02,83234
2023-02-03,99988
2023-02-04,116619
2023-02-05,32261
2023-02-06,26332
2023-02-07,116738
2023-02-08,52272
2023-02-09,243152
2023-02-10,95139
2023-02-11,39582
2023-02-12,44625
2023-02-13,87564
2023-02-14,43580
2023-02-15,67915
2023-02-16,119945
2023-02-17,38291
2023-02-18,27797
2023-02-19,27339
2023-02-20,37629
2023-02-21,17191
2023-02-22,69299
2023-02-23,47458
2023-02-24,154430
2023-02-25,25084
2023-02-26,20202
2023-02-27,133797
2023-02-28,44069
2023-03-01,104384
2023-03-02,29375
2023-03-03,155322
2023-03-04,117281
2023-03-05,22269
2023-03-06,22138
2023-03-07,19899
2023-03-08,22325
2023-03-09,15700
2023-03-10,23732
2023-03-11,22287
2023-03-12,35120
2023-03-13,149639
2023-03-14,38235
2023-03-15,51066
2023-03-16,81531
2023-03-17,229012
2023-03-18,117035
2023-03-19,111239
2023-03-20,43222
2023-03-21,45898
2023-03-22,52328
2023-03-23,183277
2023-03-24,154844
2023-03-25,37141
2023-03-26,43391
2023-03-27,33817
2023-03-28,30035
2023-03-29,148130
2023-03-30,73781
2023-03-31,27826
2023-04-01,30998
2023-04-02,137609
2023-04-03,89343
2023-04-04,31096
2023-04-05,28408
2023-04-06,25191
2023-04-07,30881
2023-04-08,25429
2023-04-09,27750
2023-04-10,26434
2023-04-11,18430
2023-04-12,16593
2023-04-13,38503
2023-04-14,20883
2023-04-15,21216
2023-04-16,95410
2023-04-17,95786
2023-04-18,34418
2023-04-19,94973
2023-04-20,186369
2023-04-21,21682
2023-04-22,21055
2023-04-23,21455
2023-04-24,20923
