index,林俊杰
2023-01-24,32405
2023-01-25,22693
2023-01-26,40849
2023-01-27,59046
2023-01-28,65534
2023-01-29,161194
2023-01-30,101047
2023-01-31,88830
2023-02-01,98662
2023-02-02,65216
2023-02-03,48370
2023-02-04,97750
2023-02-05,45945
2023-02-06,281255
2023-02-07,89897
2023-02-08,222990
2023-02-09,55521
2023-02-10,74506
2023-02-11,39787
2023-02-12,155058
2023-02-13,55255
2023-02-14,47856
2023-02-15,55526
2023-02-16,118415
2023-02-17,56049
2023-02-18,179514
2023-02-19,106750
2023-02-20,91481
2023-02-21,146558
2023-02-22,60583
2023-02-23,219819
2023-02-24,162399
2023-02-25,92582
2023-02-26,68776
2023-02-27,27149
2023-02-28,29499
2023-03-01,24213
2023-03-02,44248
2023-03-03,90234
2023-03-04,59523
2023-03-05,44922
2023-03-06,35261
2023-03-07,56162
2023-03-08,35260
2023-03-09,92187
2023-03-10,45170
2023-03-11,25774
2023-03-12,25847
2023-03-13,24172
2023-03-14,28286
2023-03-15,25267
2023-03-16,80727
2023-03-17,187938
2023-03-18,232452
2023-03-19,278775
2023-03-20,250015
2023-03-21,91939
2023-03-22,383298
2023-03-23,342016
2023-03-24,350378
2023-03-25,618052
2023-03-26,579936
2023-03-27,452791
2023-03-28,794447
2023-03-29,375769
2023-03-30,114054
2023-03-31,593813
2023-04-01,273982
2023-04-02,126945
2023-04-03,120578
2023-04-04,270606
2023-04-05,230611
2023-04-06,297651
2023-04-07,238474
2023-04-08,140346
2023-04-09,324234
2023-04-10,387588
2023-04-11,218430
2023-04-12,208482
2023-04-13,206639
2023-04-14,422330
2023-04-15,199834
2023-04-16,134679
2023-04-17,173056
2023-04-18,79519
2023-04-19,282370
2023-04-20,221598
2023-04-21,530009
2023-04-22,159145
2023-04-23,81035
2023-04-24,95088
